netID,tau,sigma,modularity,clustering,avg_Path,assortativity,core_periphery,page_rank,cost1,cost2,cost3,cost4
654,5.00E+00,3.25E+00,0.77691666666667,0.69308169608170,5.64822217546813,-0.26850573924374,0.45000000000000,1.95601308321630,18.8611338,21.30177368,37.69742919,133.4956366
655,5.00E+00,3.44E+00,0.80427368351343,0.67932245532246,6.11032567533451,-0.25778323677004,0.45933554817276,2.32509035278164,19.88119582,22.06383756,37.63299686,128.9170811
656,5.00E+00,3.21E+00,0.81057222222222,0.66687551337551,4.51824188451594,-0.23483970645037,0.42666666666667,2.13533922169746,20.74915461,23.19824123,38.55574172,131.7576293
657,5.00E+00,4.36E+00,0.75858434233618,0.68761597695091,4.10678210678211,-0.27378175986679,0.51282392026578,3.14769725452292,19.24869979,22.11480106,40.03922761,106.738449
658,5.00E+00,3.16E+00,0.78957777777778,0.67952486402486,4.53479381443299,-0.38557552486274,0.41333333333333,2.66032856277197,20.11731815,22.6933156,39.25909675,127.4007403
659,5.00E+00,3.40E+00,0.72241111111111,0.58070951270951,3.90953082263833,-0.14900190866811,0.44666666666667,2.34223240712687,18.69270817,22.40654285,41.29531095,123.3410583
660,5.00E+00,3.27E+00,0.75708888888889,0.65173304473305,5.44078947368421,-0.12706979026125,0.42666666666667,2.21131742930254,20.58168888,23.26191158,41.39412174,135.9167461
661,5.00E+00,3.19E+00,0.78362269732122,0.67768215118215,6.11798245614035,-0.23702695596575,0.43554817275748,2.27278262264528,20.85539702,23.22371007,40.43049503,132.3355551
662,5.00E+00,3.10E+00,0.75299444444445,0.67620950102529,4.56868686868687,-0.11111990022597,0.39333333333333,2.85756806661098,17.82381852,21.08497215,38.4836966,121.8399664
663,5.00E+00,3.41E+00,0.81586111111111,0.69305583305583,3.79575021682567,-0.32186046062199,0.45666666666667,2.25291841268712,22.40105822,24.6290766,40.05653099,133.8906495
664,5.00E+00,3.30E+00,0.79343495104910,0.69213275613276,6.88831615120275,-0.18035794413993,0.41926910299003,2.18304396943706,20.60774583,22.8139973,38.27026433,127.5028812
665,5.00E+00,3.42E+00,0.78038888888889,0.71123704073704,5.77793614595211,-0.29465370845676,0.47333333333333,2.13172623035405,19.885207,21.91131242,36.77557667,136.6780012
666,5.00E+00,3.51E+00,0.78245000000000,0.69915462315462,4.78499735868991,-0.27547575593644,0.45333333333333,2.22630838795035,20.12732606,22.66355682,39.1740732,127.243267
